Date,Close,High,Low,Open,Volume
19/11/2021,4697.959961,4717.75,4694.220215,4708.439941,4253180000
22/11/2021,4682.939941,4743.830078,4682.169922,4712,4441100000
23/11/2021,4690.700195,4699.390137,4652.660156,4678.47998,4277590000
24/11/2021,4701.459961,4702.870117,4659.890137,4675.779785,3418430000
26/11/2021,4594.620117,4664.629883,4585.430176,4664.629883,3517700000
29/11/2021,4655.27002,4672.950195,4625.259766,4628.75,4336410000
30/11/2021,4567,4646.02002,4560,4640.25,6625990000
01/12/2021,4513.040039,4652.939941,4510.27002,4602.819824,5366730000
02/12/2021,4577.100098,4595.459961,4504.72998,4504.72998,5077180000
03/12/2021,4538.430176,4608.029785,4495.120117,4589.490234,5240070000
06/12/2021,4591.669922,4612.600098,4540.509766,4548.370117,4770800000
07/12/2021,4686.75,4694.040039,4631.970215,4631.970215,4492400000
08/12/2021,4701.209961,4705.060059,4674.52002,4690.859863,4234600000
09/12/2021,4667.450195,4695.259766,4665.97998,4691,3903840000
10/12/2021,4712.02002,4713.569824,4670.240234,4687.640137,3870110000
13/12/2021,4668.970215,4710.299805,4667.600098,4710.299805,4397230000
14/12/2021,4634.089844,4660.470215,4606.52002,4642.990234,4485430000
15/12/2021,4709.850098,4712.600098,4611.220215,4636.459961,4910130000
16/12/2021,4668.669922,4731.990234,4651.890137,4719.129883,4829500000
17/12/2021,4620.640137,4666.700195,4600.220215,4652.5,7987090000
20/12/2021,4568.02002,4587.899902,4531.100098,4587.899902,4635700000
21/12/2021,4649.22998,4651.140137,4583.160156,4594.959961,4072430000
22/12/2021,4696.560059,4697.669922,4645.529785,4650.359863,3319610000
23/12/2021,4725.790039,4740.740234,4703.959961,4703.959961,2913040000
27/12/2021,4791.189941,4791.490234,4733.990234,4733.990234,2770290000
28/12/2021,4786.350098,4807.02002,4780.040039,4795.490234,2707920000
29/12/2021,4793.060059,4804.060059,4778.080078,4788.640137,2963310000
30/12/2021,4778.72998,4808.930176,4775.330078,4794.22998,3124950000
31/12/2021,4766.180176,4786.830078,4765.75,4775.209961,2677820000
03/01/2022,4796.560059,4796.640137,4758.169922,4778.140137,3831020000
04/01/2022,4793.540039,4818.620117,4774.27002,4804.509766,4683170000
05/01/2022,4700.580078,4797.700195,4699.439941,4787.990234,4887960000
06/01/2022,4696.049805,4725.009766,4671.259766,4693.390137,4295280000
07/01/2022,4677.029785,4707.950195,4662.740234,4697.660156,4181510000
10/01/2022,4670.290039,4673.02002,4582.240234,4655.339844,4511810000
11/01/2022,4713.069824,4714.129883,4638.27002,4669.140137,4101590000
12/01/2022,4726.350098,4748.830078,4706.709961,4728.589844,4048220000
13/01/2022,4659.029785,4744.129883,4650.290039,4733.560059,4251730000
14/01/2022,4662.850098,4665.129883,4614.75,4637.990234,4338490000
18/01/2022,4577.109863,4632.240234,4568.700195,4632.240234,4748700000
19/01/2022,4532.759766,4611.549805,4530.200195,4588.029785,4465740000
20/01/2022,4482.72998,4602.109863,4477.950195,4547.350098,4640870000
21/01/2022,4397.939941,4494.52002,4395.339844,4471.379883,5589100000
24/01/2022,4410.129883,4417.350098,4222.620117,4356.319824,6928110000
